#{"t_start": 1787654605.559379, "env_id": "None"}
r,l,t
1.663666,200,111.66012
19.930979,69,111.712085
-8.745821,74,111.764073
-0.626845,200,112.357238
-26.974555,48,112.386775
3.050327,200,112.535656
4.595655,200,112.697885
-0.5683,200,112.878785
-43.376224,200,113.050206
2.095039,200,113.662952
3.616327,200,113.789873
1.768,200,113.925514
-0.341654,200,114.059011
1.148785,200,114.192289
18.07141,186,114.728657
19.244584,95,114.791924
-1.140198,200,114.934774
0.157895,200,115.073826
0.480394,200,115.209676
19.756849,105,115.283969
-3.069074,200,115.865408
-10.55631,47,115.893408
1.47453,200,116.01022
-0.029654,200,116.125648
-1.148318,200,116.241573
-2.623983,200,116.355396
2.702884,200,116.883301
1.516193,200,116.996637
-36.39971,200,117.11164
-3.482823,200,117.226765
-2.473102,200,117.33882
0.742585,200,117.864657
17.358377,114,117.939365
19.330611,143,118.038553
0.375661,200,118.168826
3.001193,200,118.291317
2.05335,200,118.438039
-0.103053,200,119.023071
-2.268771,200,119.145499
17.583941,70,119.194601
18.233903,180,119.325221
-17.370316,1,119.3262
-1.262852,200,119.466503
-12.52062,200,119.601627
0.008583,200,120.234895
18.554334,114,120.308275
-1.547099,200,120.446978
4.050232,200,120.58597
1.108637,200,120.727562
20.193466,124,120.81647
-0.833578,200,121.396225
-9.553358,107,121.473157
19.334275,77,121.530125
20.595645,158,121.641962
-1.443935,200,121.787296
-8.162729,200,121.929017
-0.407033,200,122.471349
19.176382,95,122.546636
17.126429,136,122.631127
18.476716,86,122.707498
-7.127789,169,122.8114
17.49003,97,122.867204
5.240066,200,123.00663
18.571359,112,123.079573
-0.308828,200,123.643243
-0.949183,200,123.786927
16.387025,139,123.879352
-19.331871,200,124.041605
18.730098,129,124.141376
8.452239,80,124.187662
-0.305418,200,124.708481
-5.152364,200,124.833076
-8.778099,74,124.877864
22.473476,108,124.942243
0.704139,98,125.001004
-17.805156,146,125.097682
-1.684886,200,125.294662
-8.201076,54,125.331425
-1.829034,200,125.844632
-1.366195,200,125.968455
-8.742952,115,126.035402
3.529926,200,126.148003
0.697969,200,126.259181
-4.990407,114,126.324626
-8.064168,42,126.748474
19.397534,143,126.842011
19.417921,123,126.925945
21.240086,104,126.992396
-8.281605,200,127.113588
1.60935,200,127.231668
20.368024,84,127.280173
5.503825,200,127.797341
1.373232,200,127.913413
2.212115,200,128.034111
-9.609702,200,128.15744
19.952652,98,128.213573
-10.180135,51,128.24228
4.271074,200,128.363956
18.38333,51,128.789125
1.694347,200,128.904966
12.371176,170,129.001374
20.873613,121,129.074544
18.864576,97,129.137904
20.030848,90,129.193995
-1.142195,200,129.31284
0.554503,200,129.858831
2.203327,200,129.986093
0.705891,200,130.107985
-1.311686,200,130.234963
